Gene stable ID,drug_claim_name,drug_target_genes,genes_PPI1
ENSG00000100197,"#HYCANTHONE#PI-CLONIDINE#RALOXIFENE#PYRAZINAMIDE#DACTINOMYCIN#HYDRASTININE#6-METHOXY-HARMALAN#MIBEFRADIL#L-687384#SELEGILINE#MERCAPTOPURINE#CEFOPERAZONE#ACEPROMAZINE#TIOTIDINE#ALLOPURINOL#FLAVOXATE#FASUDIL#DIHYDROXIDINE#KETOTIFEN#VESAMICOL#ESOXYBUTYNIN#PSEUDOEPHEDRINE#METHANTHELINE#GNF-PF-1859#ASPIRIN#Quinine Sulfate#ALBUMIN#BETA-BLOCKER#GINKGO BILOBA#sparteine#Selective serotonin reuptake inhibitors#hmg coa reductase inhibitors#Opium derivatives and expectorants#n-desmethyltramadol#toremifene#Galantamine#XYLOMETAZOLINE#4',7-DIMETHOXY-5-HYDROXYGENISTEIN#GENTAMICIN#Carvedilol#L-THREO-BENZYLOXY ASPARTATE#HARMOL#OLOMOUCINE#MESTRANOL#NSC-81747#KAEMPFEROL#CYPROHEPTADINE#TCMDC-124479#MENADIONE#NSC-343227#PLICAMYCIN#3',4' DICHLOROBENZAMIL#EMODIN#RANITIDINE#PROPYLPYRAZOLETRIOL#MECLIZINE#SB-202190#GNF-PF-3084#SOTALOL#VER-3323#DAPSONE#MMV007764#METHYL 2-(4-FLUOROBENZAMIDO)BENZOATE#Brexpiprazole#Pitolisant#chlorpheniramine#valbenazine#quinidine#cevimeline#meclizine#upadacitinib#metoclopramide#ANTAZOLINE#GW1929#METARAMINOL#Risperidone#COUMARIN#hydrocodone#VANOXERINE#CYTARABINE#KENPAULLONE#mexiletine#NISOLDIPINE#GR-55562#6'-IODONONIVAMIDE#LORATADINE#GNF-PF-806#TORSEMIDE#FLUSPIRILENE#DOMPERIDONE#KETANSERIN TARTRATE#DIHYDROSPINGOSINE#ASARININ#GUAIFENESIN#PHENYLBUTAZONE#IBUPROFEN#PF-03715455#UH-301#PIMETHIXENE#LABETALOL#NORTRIPTYLINE#ADIPHENINE#CIRAZOLINE#FERROUS SULFATE#PIPERACETAZINE#FLUNISOLIDE#TRIMETHOPRIM#THIOPERAMIDE#Amitriptyline#Eliglustat#Palonosetron#methylphenidate#fesoterodine#DIPYRIDAMOLE#Dextromethorphan#dronedarone#NSC-95397#tetrabenazine#CYC-116#3,4-methylenedioxymethamphetamine#BETA-LAPACHONE#amiodarone#DIAZOXIDE#RACLOPRIDE#SPIRAMIDE#ICI-162846#MODAFINIL#PROMAZINE#LAMOTRIGINE#IODOMELATONIN#AZATHIOPRINE#AMSACRINE#ARASERTACONAZOLE#CGP-13501#(S)-NOMIFENSINE#NEOSTIGMINE BROMIDE#MAPROTILINE#CYCLOSPORINE#NCI-13239#ZAFIRLUKAST#NIMESULIDE#PNU-99194A#CHLOROQUINE#PENICILLIN V BENZATHINE#BENPERIDOL#METHAPYRILENE#TICLOPIDINE#SP-600125#ERYTHROMYCIN#BUTACAINE#DOCEBENONE#E324#BENOXINATE#RITANSERIN#ACETAMINOPHEN#BAICALEIN#Paliperidone#TACROLIMUS#acetaminophen / caffeine / dihydrocodeine#ranolazine#acetaminophen#mirabegron#flecainide#fluphenazine#ROPINIROLE#nevirapine#ETOPOSIDE#lovastatin#SB-334867#acetaminophen / codeine#umeclidinium / vilanterol#COLCHICINE#RS-23597-190#CHLORPROPAMIDE#AGROCLAVINE#TCMDC-124336#DYCLONINE#SULINDAC#DIGOXIN#MIRTAZAPINE#U-73122#U-0126#PERPHENAZINE#SULPIRIDE#CLEBOPRIDE#NIACIN#NATEGLINIDE#EMBELIN#Desvenlafaxine#Flibanserin#Umeclidinium#chlorpromazine#2-hydroxymethyl olanzapine#paramethoxymethamphetamine#noroxycodone#n,o-didesmethyltramadol#desvenlafaxine#sertindole#desethyl hydroxychloroquine#aspirin#umeclidinium#Tamsulosin#HALOFANTRINE HYDROCHLORIDE#Perphenazine#CARMUSTINE#MAPROTILINE HYDROCHLORIDE#CHLORPROMAZINE#PHENOBARBITAL#ZILEUTON#ICI-199,441#LOPERAMIDE#PROPRANOLOL#TICRYNAFEN#BUTANE-2,3-DIONE MONOOXIME#RO-137410#DACARBAZINE#PROCHLORPERAZINE#RISPERIDONE#PYRILAMINE#DANAZOL#L-733060#(R)-PINOCEMBRIN#(-)-PROPANOLOL#TESTOSTERONE#AZITHROMYCIN#PIPERIDOLATE#PROPYLTHIOURACIL#TELENZEPINE#DOXORUBICIN#OFLOXACIN#OLVANIL#Vortioxetine#primidone#ibrutinib#amoxapine#pitolisant#Amphetamine#PRIDINOL#ZOLANTIDINE#A-315456#TRIFLUPROMAZINE#ETICLOPRIDE#(S)-ROSCOVITINE#DIPHENYLENEIODONIUM#Tamoxifen#BENZETHONIUM#KARANJIN#Propranolol#PHENELZINE#FELBAMATE#FLUOXETINE#CYCLOBENZAPRINE#AG-555#DEXTROMEPROMAZINE#CIPROFLOXACIN#U-37883A#GLAFENINE#RS-67506#NSC-45382#NICLOSAMIDE#CHLOROPYRAMINE#NAPHAZOLINE#DILTIAZEM#CHLORHEXIDINE#PHENTOLAMINE MESYLATE#BD-1008#SJ000111093#MONTELUKAST#ENDO-ATROPINE#Nortriptyline#HYPERICIN#fluoxetine / olanzapine#pridopidine#lofexidine#ibuprofen#gabapentin#morphine#sulfasalazine#zuclopenthixol#terbinafine#eletriptan#Gefitinib#dihydromorphine#PIRIBEDIL#GNF-PF-3537#thioridazine#MEPIVACAINE#ARBACLOFEN#HYDROXYZINE#VALPROIC ACID#IPRONIAZID#Dabigatran#(+)-TETRAHYDROBERBERINE#SDZ-205557#GLYBURIDE#BP-897#CAPSAZEPINE#TROLEANDOMYCIN#TROGLITAZONE#LOVASTATIN#NIGULDIPINE#GBR-12935#CLEMASTINE#FIPEXIDE#ETHYLISOTHIOUREA#PAPAVERINE#PIROXICAM#CLARITHROMYCIN#REL-CISAPRIDE#ETHINYL ESTRADIOL#DICYCLOMINE#NSC-42258#INDIRUBIN-3-MONOXIME#PHENTOLAMINE#NSC-309895#LEVOBUPIVACAINE#Deutetrabenazine#Pimozide#Rucaparib#HYDROXYCHLOROQUINE#pimozide#yohimbine#mianserin#rosuvastatin#perhexiline#desipramine#timolol#Glutethimide#LINEZOLID#Atomoxetine#REMOXIPRIDE#ATOMOXETINE#BERGAMOTTIN#L-701324#TRACAZOLATE#nefazodone#DIMETHISOQUIN#CARBAMAZEPINE#DEXTROMETHORPHAN HYDROBROMIDE MONOHYDRATE#(S,S)-(+)-FENOTEROL#NALBUPHINE#CYPROTERONE#(-)-THALIPORPHINE#LANSOPRAZOLE#LEVOPROPOXYPHENE NAPSYLATE ANHYDROUS#TRIFLUOPERAZINE#IOBENGUANE#CGP-55845#(-)-U-50488#METHOCARBAMOL#CORYNANTHEINE#(R,S)-INDATRALINE#7,8,2'-TRIHYDROXYFLAVONE#PHENYTOIN#DIPHENYLPYRALINE#RS-39604#LANSOPRAZOLE SULFIDE#5-(4-PHENYLBUTOXY)PSORALEN#THONZONIUM#MECAMYLAMINE#OXYMETAZOLINE#DANTROLENE#TRIAMCINOLONE#Metoprolol#ACTH#VORICONAZOLE#hydroxyamitriptyline#Paracetamol, combinations excl. Psycholeptics (Vicks MediNait Sirup)#flibanserin#atorvastatin#perphenazine#desmethyl clomipramine#bromazepam#granisetron#nebivolol#5-(N-METHYL-N-ISOBUTYL)AMILORIDE#DEXPROPRANOLOL#DALFAMPRIDINE#BECLOMETHASONE#SPICLOMAZINE#BOLDINE#PROPOXYCAINE#RILMENIDINE#[14C]-TACRINE MONOHYDRATE MONOHYDROCHLORIDE#NORDIHYDROGUAIARETIC ACID#GLYCINE#NU-1025#CLOMETHIAZOLE#NIFEDIPINE#CLOTRIMAZOLE#CLOFIBRIC ACID#NAPROXEN#CLOMIPRAMINE#CARBETAPENTANE CITRATE#Aripiprazole#Amoxapine#Aripiprazole Lauroxil#Doxepin#Quinidine#Escitalopram#Meclizine#Paroxetine#Tolterodine#AMPHETAMINE#MEXILETINE#ketoprofen#tiotropium#ketorolac#bepridil#vortioxetine#aripiprazole lauroxil#vernakalant#ISOQUINE#OXOTREMORINE#N-DESMETHYLCLOZAPINE#(S)-methadone#GABAZINE#ISOBOLDINE#E-DOXEPIN#FLUPIRTINE#Cevimeline#AY-9944#BRL-52537#(R,S)-IFENPRODIL#SB-224289#DIETHYLSTILBESTROL#METHAPHIT#ENOXOLONE#OXATOMIDE#7-HYDROXYCHLORPROMAZINE#CARBETAPENTANE#DEXTROMETHORPHAN#GRAVEOLINE#(R)-PROCYCLIDINE#NSC-74429#AMITRIPTYLINE#BTCP#DEXAMETHASONE#BUFLOMEDIL#CLOPIDOGREL#BUDESONIDE#SB-431542#GUANFACINE#TETRACYCLINE#FLOXURIDINE#SULFASALAZINE#DEXEFAROXAN#Fesoterodine#Fluoxetine#Thioridazine#Tetrabenazine#darifenacin#palonosetron#ciprofloxacin#clonidine#coptisine#TCMDC-124224#DAIDZEIN#CLONIDINE#DENATONIUM BENZOATE#NILUTAMIDE#Cariprazine#AMPHOTERICIN B#PYRIDOSTIGMINE#cariprazine#(S)-AMPA#Fluvoxamine#ESTRADIOL#CYCLOPHOSPHAMIDE#DIDANOSINE#SIMVASTATIN#SNC-80#HARMAN#LEUPROLIDE#NCI-17383#SB-200646#CLEMIZOLE#CEFTRIAXONE#MENTHOFURAN#U-50488 METHANE SULFONATE#OXETHAZAINE#GRAMINE#DIMENHYDRINATE#CLOFAZIMINE#SC-19220#CIMETIDINE#AMOXICILLIN#NSC-56452#SB-204070#ZIDOVUDINE#EBSELEN#ETIDRONIC ACID#MITOMYCIN#LIOTHYRONINE#MINOXIDIL#ACACETIN#MEPRYLCAINE#PIPENZOLATE#TIMOLOL#BERGAPTEN#TCMDC-123869#Mirabegron#Protriptyline#rucaparib#berberine#iloperidone#formoterol#deutetrabenazine#protriptyline#donepezil#trimipramine#WAY-629#E-4031#PARAROSANILINE#fluvastatin#U-50488#IPRATROPIUM#arformoterol#Formoterol#MICONAZOLE#DIMETACRINE#Arformoterol#(S)-ALAPROCLATE#APTIGANEL#SULFADOXINE#GALANGIN#ELLIPTECINE#SJ000173328#CLORGILINE#RS-17053#HALOPERIDOL#FLUCONAZOLE#PHENOXYBENZAMINE#AM-251#DOFETILIDE#APOMORPHINE#IMETIT#BUTYLATED HYDROXYTOLUENE#MINOCYCLINE#ALPROSTADIL#ISOXSUPRINE#SPIPERONE#DROPERIDOL#PRIDINOL METHANESULFONATE#(R)-FLECAINIDE#NITROFURANTOIN#PD-98059#MEFENAMIC ACID#SJ000029642#Clozapine#Nebivolol#mephedrone#Anticholinergic Agents#flupenthixol#tropisetron#disopyramide#ethanol#ethylmorphine#oliceridine#colchicine#quinine#Venlafaxine#tamsulosin#TRIFLUPERIDOL#STAVUDINE#MRS-1220#CROMOLYN#NSC-32984#ECADOTRIL#MAO inhibitors#ERLOTINIB#fentanyl#(S)-PROMETHAZINE#METHYLDOPA#DEQUALINIUM#METHOTREXATE#4-(2-AMINOETHYL)BENZENESULFONYL FLUORIDE#OMEPRAZOLE#DIPHENHYDRAMINE#4-CHLOROMERCURIBENZOIC ACID#AMOXAPINE#SR-2640#NS-398#PSB-1115#VANIPREVIR#MIDODRINE#METHOXSALEN#PAPAVEROLINE#DICLOFENAC#CILOSTAZOL#CAFFEINE#KETOCONAZOLE#Citalopram#Upadacitinib#Valbenazine#levomepromazine#nicotine#propranolol#brexpiprazole#hydromorphone#INDINAVIR#Clomipramine#OXYBUTYNIN#Metoclopramide#LY-367265#IMAZODAN#PSORALEN#BENZAMIL#NSC-133896#PROPANTHELINE#IBUDILAST#LIDOFLAZINE#CLOBENPROPIT#BUSULFAN#SKF-10047#LEUCINE#INDOMETHACIN#AMIODARONE#ASTEMIZOLE#PIRINIXIC ACID#BIOCHANIN#PREDNISONE#NSC-668394#HYDROCOTARNINE#AZTREONAM#PROGESTERONE#SULFAPHENAZOLE#Darifenacin#Lofexidine#Propafenone#Tramadol#GARLIC#STREPTOZOTOCIN#METHYLPHENIDATE#eliglustat#methamphetamine#METYROSINE#CHLOROPHENYLPIPERAZINE#DEGUELIN#HYDRALAZINE#ALVERINE CITRATE#TACRINE#NSC-24047#MRS-2220#TAMOXIFEN CITRATE#PIMOZIDE#BUCLADESINE#L-689560#RIFAMPICIN#PROTRIPTYLINE#NCI-10777#HARMALINE#TERAZOSIN#MANGOSTIN#1-[2-(TRIFLUOROMETHYL)PHENYL]IMIDAZOLE#FLUPHENAZINE#TCMDC-124059#(S)-FLUOXETINE#FINASTERIDE#SKF-82526#BROMPERIDOL#PROADIFEN#PERHEXILINE#ZOXAZOLAMINE#DESIPRAMINE#BENZYDAMINE#LY-294002#CP-339818#BERBERINE#L-741626#Codeine#Desipramine#Donepezil#Duloxetine#Imipramine#Iloperidone#Nefazodone#Trimipramine#MODAFINIL#dapoxetine#tolperisone#promethazine#oxymorphone#ritonavir#PIRENZEPINE#ISOPROPAMIDE#L-694247#NEVIRAPINE#CLOFIBRATE#RAUWOLFIA SERPENTINA#Ondansetron#GNF-PF-3889#DIPHENIDOL#Modafinil#DIHYDREXIDINE#IMIPRAMINE#dextromethorphan / quinidine",,",ENSG00000160201"
ENSG00000100219,#HELENALIN#OSM-S-85#ISOVELLERAL#GNF-PF-1859#FLUSPIRILENE#DNDI1417086#GRINIMIBINE#CGP-60474#DNDI1417614#ANGUSTIBALIN#CALCIMYCIN#PROTOAPIGENONE#DITHIAZANINE IODIDE#DNDI1417941#BI-87E7#GNF-PF-4085#PIMOZIDE#GARCINONE E#GNF-PF-3996,,",ENSG00000170037,ENSG00000188089"
ENSG00000100243,#isosorbide mononitrate#metoclopramide#dapsone#chloroprocaine#ceftriaxone#primaquine#ropivacaine#methylene blue#bupivacaine#rasburicase#mepivacaine#sodium nitrite#isosorbide dinitrate#oxymetazoline and tetracaine#lidocaine / prilocaine#lidocaine and tetracaine#articaine / epinephrine,,",ENSG00000135622"
ENSG00000100266,#azathioprine,,",ENSG00000123154,ENSG00000213218"
ENSG00000100299,"#TOSYL-L-LYSINE CHLOROMETHYL KETONE#MELEVODOPA#3,5-DINITROCATECHOL (OR-486)#GOSSYPOL#methylphenidate#DECAMETHONIUM#TRANILAST#SQ-22536#DNQX#6-HYDROXYMELATONIN#INDIRUBIN-3-MONOXIME#RO-410960#NBQX#BENZOXATHIAN#HGT-1111#GNF-PF-5510#MITOXANTRONE#DESIPRAMINE#SPIROXATRINE#PHLORETIN#PICEATANNOL#PIRENPERONE",,",ENSG00000198301"
ENSG00000100316,#DORLIMOMAB ARITOX#ELX-02#MT-3724#ATALUREN#CYCLOHEXIMIDE,,",ENSG00000242372,ENSG00000188393,ENSG00000115233,ENSG00000184697,ENSG00000159352,ENSG00000105205,ENSG00000169855,ENSG00000198728,ENSG00000149557,ENSG00000188089,ENSG00000182768"
ENSG00000100365,#rituximab#doxorubicin#idarubicin#prednisone#vincristine#cyclophosphamide,,",ENSG00000175324,ENSG00000069493,ENSG00000100060"
ENSG00000100368,#SARGRAMOSTIM#TPI-ASM8#SARGRAMOSTIM#DT388IL-3#MAVRILIMUMAB#Leridistim#CIBINETIDE#TPI ASM8#CSL-362#SL-401#SARGRAMOSTIM,,",ENSG00000078114"
ENSG00000100385,#INTERLEUKIN-2 EXPRESSING PLASMID#DACLIZUMAB#PEGENZILEUKIN#BASILIXIMAB#ALDESLEUKIN#RECOMBINANT HUMAN INTERLEUKIN-15#Leukocyte interleukin#INTERLEUKIN 2#IL-2#SIMLUKAFUSP ALFA#NKTR 214#DENILEUKIN DIFTITOX#ALDESLEUKIN#ALDESLEUKIN#AFTVac#MIK-BETA-1#DENILEUKIN DIFTITOX#HUMIK-BETA-1#INTERLEUKIN-2,,",ENSG00000275700,ENSG00000150779,ENSG00000184207"
ENSG00000100387,#fluorouracil#LENALIDOMIDE#THALIDOMIDE#epirubicin#IBERDOMIDE#cyclophosphamide#POMALIDOMIDE,,",ENSG00000147065,ENSG00000167671,ENSG00000125266,ENSG00000134780,ENSG00000184260,ENSG00000234602,ENSG00000137767,ENSG00000068078,ENSG00000198176,ENSG00000105650,ENSG00000160188,ENSG00000108590"
ENSG00000100393,#DIETHYL-2-UNDECYLIDENEMALONATE#GARCINOL#DIETHYL-2-TETRADECYLIDENEMALONATE#DIETHYL-2-PENTADECYLIDENEMALONATE#DIETHYL-2-DODECYLIDENEMALONATE,,",ENSG00000226761,ENSG00000104529,ENSG00000112983,ENSG00000102100,ENSG00000183579,ENSG00000132394,ENSG00000165409,ENSG00000164047,ENSG00000055917"
ENSG00000100448,#VITAMIN K#Peptide analog 59#Peptide analog 60#MANNITOL#TUMOR NECROSIS FACTOR#TNF-ALPHA#Peptide analog 58#Peptide analog 61#Peptide analog 70#JNJ-10311795#IFN#LAK#DERMOLASTIN#Peptide analog 62#Peptide analog 55#Peptide analog 56#Peptide analog 57#SULFONE,,",ENSG00000116031"
ENSG00000100453,#HEXACHLOROPHENE,,",ENSG00000127507,ENSG00000151025,ENSG00000275700,ENSG00000151413,ENSG00000108590,ENSG00000121879"
ENSG00000100462,#PEMRAMETOSTAT#GSK3326595,,",ENSG00000170293,ENSG00000183579"
ENSG00000100479,#CLOFARABINE#FLUDARABINE PHOSPHATE#CYTARABINE#TROXACITABINE#ASPACYTARABINE#GEMCITABINE HYDROCHLORIDE,,",ENSG00000032742,ENSG00000157404,ENSG00000118965,ENSG00000168710"
ENSG00000100504,#asparaginase#methotrexate#dexamethasone#PSN357,,",ENSG00000182890,ENSG00000101782,ENSG00000064651"
ENSG00000100519,#CARFILZOMIB#CARFILZOMIB#CARFILZOMIB#IXAZOMIB#OPROZOMIB#BORTEZOMIB#BORTEZOMIB#IXAZOMIB CITRATE#BORTEZOMIB,,",ENSG00000102158,ENSG00000160688,ENSG00000126777,ENSG00000164597,ENSG00000197043,ENSG00000138435,ENSG00000186642,ENSG00000121351"
ENSG00000100567,#OPROZOMIB#MARIZOMIB#CARFILZOMIB#CARFILZOMIB#BORTEZOMIB#BORTEZOMIB#CARFILZOMIB#IXAZOMIB#IXAZOMIB CITRATE#BORTEZOMIB,,",ENSG00000164597,ENSG00000121351,ENSG00000126777,ENSG00000102158,ENSG00000138435,ENSG00000116288"
ENSG00000100591,#TAK-715#ARRY-797#BMS-582949#GSK2269557#LY-2228820#AZD7624,,",ENSG00000008405,ENSG00000198963"
ENSG00000100600,#Legumain-cleavable doxorubicin prodrugs,,",ENSG00000105205"
ENSG00000100603,#TRANSFORMING GROWTH FACTOR,,",ENSG00000171169,ENSG00000100413,ENSG00000124003,ENSG00000135441,ENSG00000170340,ENSG00000170293,ENSG00000106384,ENSG00000185000,ENSG00000137077,ENSG00000144802,ENSG00000203805,ENSG00000177666,ENSG00000137942,ENSG00000141934,ENSG00000162407,ENSG00000166391,ENSG00000130304,ENSG00000147535"
ENSG00000100644,"#MANASSANTIN B#L-655240#3-NITROPROPIONIC ACID#VINCRISTINE SULFATE#DIACYLGLYCEROL KINASE INHIBITOR II#IODOQUINOL#NITROGLYCERIN#EMETINE#SB-415286#LEVONORDEFRIN#PROMAZINE#NOSCAPINE#CHRYSIN#HYDROQUINONE#FLUFENAMIC ACID#BENZBROMARONE#GW1929#SP-600125#PUUPEHENONE#DOPAMINE#ISOCEPHAELINE#ISOETHARINE MESYLATE#EZN-2968#KAEMPFEROL#LORATADINE#PROCATEROL HYDROCHLORIDE#NSC-327705#HYCANTHONE#SALICYLHYDROXAMIC ACID#QUERCETIN#E324#PROPYLPYRAZOLETRIOL#AG-34#ETHAMSYLATE#AG-555#(R)-MELPHALAN#DEPHOSTATIN#AMCINONIDE#CYCLOHEXIMIDE#DNDI1417388#NSC-117079#AMFONELIC ACID#NSC-117271#GW7647#CAMPTOTHECIN#TRIAMTERENE#AG-538#DESOXIMETASONE#FLUNARIZINE DIHYDROCHLORIDE#NICLOSAMIDE#Sunitinib#(S)APOMORPHINE#NSC-125034#TIRATRICOL#TOLFENAMIC ACID#GELDANAMYCIN#ENMD-1198#EZN-2968#OXYTETRACYCLINE#FUROSPONGOLIDE#ETICLOPRIDE#PX-478#HALICLONADIAMINE#MECLOFENAMATE SODIUM#CYCLOSERINE#CGS-15943#EPO#DEFEROXAMINE#2-Methoxyestradiol#DIETHYLSTILBESTROL DIPROPIONATE#CIS-RESVERATROL#AG-494#OXATOMIDE#NIFEDIPINE#HESPERETIN#TRETINOIN#OXETHAZAINE#NSC-348401#SULFASALAZINE#SPC/ENZ2968#HIF-1ALPHA#HIF-1alpha#PHENOXYBENZAMINE HYDROCHLORIDE#BENZO[B]FLUORANTHENE#8-AZAGUANINE#DICLOFENAC SODIUM#NSC-119236#BECLOMETHASONE#EPICATECHIN GALLATE#IT-101#ISOPRENALINE#2-CHLOROADENOSINE#CLEMIZOLE#7,12-DIMETHYL-BENZO[A]ANTHRACENE#TYRPHOSTIN AG-835#RO-410960#PARAROSANILINE#HYDROCORTISONE 21-OCTANOATE#KLUGINE#DEOXIEPINEPHRINE#CLOTRIMAZOLE#sorafenib#ENMD-1198#PX-478#TYRPHOSTIN AG 879#FLUPIRTINE#DIOXYBENZONE#DNDI1417132#ACACETIN#BOLDINE#DNDI1417171#ESCULETIN#DEQUALINIUM#NSC-125296#CGP-7930#PIMOZIDE#TOPOTECAN HYDROCHLORIDE#RESVERATROL#BENZAMIL#TYRPHOSTIN 47#NORADRENALINE#HYPERBARIC OXYGEN#PIMONIDAZOLE#Pyrrolidine carboxamide derivative 1#ZAPRINAST#FUSARIC ACID#DIBENZ[A,H]ANTHRACENE#TYRPHOSTIN A9#NEOPETROFORMYNE A#EPINEPHRINE BITARTRATE#APIGENIN#CATECHOL#PROTEASOME INHIBITOR#PURVALANOLA#CHLOROETHYLCLONIDINE#ELLIPTECINE#RUTAECARPINE#INAMRINONE#AG-490#TANESPIMYCIN#SPIPERONE#PX-478#NSC-668394#COBALT#AG-808#PIRETANIDE#HYDROCORTISONE#MEFENAMIC ACID#TPCK#DNDI1417607#axitinib#EPINEPHRINE",,",ENSG00000032742,ENSG00000175324,ENSG00000213995,ENSG00000164047,ENSG00000112983"
ENSG00000100714,#doxorubicin#pemetrexed#cisplatin#gemcitabine,,",ENSG00000172757,ENSG00000247596,ENSG00000057252"
ENSG00000100739,#SSR-240612#SAFOTIBANT#perindopril#BI113823#BI 113823#Safotibant#MK0686,,",ENSG00000131966"
ENSG00000100764,#IXAZOMIB#BORTEZOMIB#BORTEZOMIB#OPROZOMIB#CARFILZOMIB#CARFILZOMIB#CARFILZOMIB#BORTEZOMIB#IXAZOMIB CITRATE,,",ENSG00000164597,ENSG00000121351,ENSG00000160688,ENSG00000126777,ENSG00000138435,ENSG00000102158,ENSG00000186642,ENSG00000113594,ENSG00000197043"
ENSG00000100784,#HESPERADIN#LINIFANIB#PHA-767491#ILORASERTIB#GW843682X#GSK-269962A#DOVITINIB,,",ENSG00000141527,ENSG00000108312,ENSG00000175324,ENSG00000132394,ENSG00000162643"
ENSG00000100804,#CARFILZOMIB#MARIZOMIB#CARFILZOMIB#MARIZOMIB#CARFILZOMIB#MLN-9708#BELACTOSIN A#OPROZOMIB#IXAZOMIB#BORTEZOMIB#BORTEZOMIB#BORTEZOMIB#MG-132#CARFILZOMIB#LACTACYSTIN#IXAZOMIB CITRATE#CLASTO-LACTACYSTIN BETA-LACTONE#BORTEZOMIB#OPROZOMIB#BORTEZOMIB,,",ENSG00000138435,ENSG00000102158,ENSG00000121351,ENSG00000116288,ENSG00000186642,ENSG00000164597,ENSG00000126777"
ENSG00000100811,#ANTISERUM,,",ENSG00000164047"
